16884679135,0,0,4.758984465,0,0,0,0
16884679145,-0.104907889,0.039292322,4.769117279,0,0,0,0
16884679155,-0.170079236,0.027764293,4.787987125,0,0,0,0
16884679165,-0.217524847,0.01656692,4.819478074,0,0,0,0
16884679175,0.052830004,-0.277447135,4.845604765,0,0,0,0
16884679185,0.998861022,-1.146659243,4.92894648,0,0,0,0
16884679195,2.176911012,-2.155915574,4.947685251,0,0,0,0
16884679205,3.490742675,-3.255449697,4.971148856,0,0,0,0
16884679215,5.099064013,-4.576361079,5.004661144,0,0,0,0
16884679225,6.876248085,-6.275677814,5.022220452,0,0,0,0
16884679235,8.799075985,-8.415706755,5.061295534,0,0,0,0
16884679245,10.79973026,-10.92552663,5.111964173,0,0,0,0
16884679255,12.86135491,-13.73326554,5.14433619,0,0,0,0
16884679265,15.0590922,-16.82720925,5.192159102,0,0,0,0
16884679275,17.36110699,-20.10482836,5.222877227,0,0,0,0
16884679285,19.67477812,-23.41316604,5.245487577,0,0,0,0
16884679295,21.90261405,-26.75404104,5.279793608,0,0,0,0
16884679305,24.39532117,-30.21372134,5.262258644,0,0,0,0
16884679315,26.97534971,-33.8986422,5.272017804,0,0,0,0
16884679325,29.59231534,-37.84068038,5.296720248,0,0,0,0
16884679335,32.26225916,-42.00859955,5.385525952,0,0,0,0
16884679345,35.16003072,-46.38882507,5.444368778,0,0,0,0
16884679355,38.26477326,-50.99205805,5.465989295,0,0,0,0
16884679365,41.58221865,-55.82850356,5.510150811,0,0,0,0
16884679375,45.00813601,-60.77635849,5.538429832,0,0,0,0
16884679385,48.30101969,-65.60294606,5.614069106,0,0,0,0
16884679395,51.39729064,-70.22695446,5.655670532,0,0,0,0
16884679405,54.34107067,-74.6372484,5.710222011,0,0,0,0
16884679415,57.07624346,-78.85549981,5.741554563,0,0,0,0
16884679425,59.61644156,-82.84020541,5.843493002,0,0,0,0
16884679435,61.99374635,-86.52889309,5.916021817,0,0,0,0
16884679445,64.70690068,-89.44820349,6.006275879,0,0,0,0
16884679455,67.04044474,-92.39522119,6.045647656,0,0,0,0
16884679465,68.95517935,-95.05099712,6.123896272,0,0,0,0
16884679475,70.47668473,-97.30161915,6.170495797,0,0,0,0
16884679485,71.59470484,-99.01321927,6.227501289,0,0,0,0
16884679495,72.47208788,-100.4199413,6.298819867,0,0,0,0
16884679505,73.34614748,-101.8267251,6.364556869,0,0,0,0
16884679515,74.56160655,-103.7118151,6.425763164,0,0,0,0
16884679525,76.23324469,-106.2277531,6.485018701,0,0,0,0
16884679535,78.14113576,-109.1105238,6.54035148,0,0,0,0
16884679545,80.01194408,-111.7877404,6.586888738,0,0,0,0
16884679555,82.12291957,-114.3882883,6.627678995,0,0,0,0
16884679565,84.44755986,-117.2735918,6.667448512,0,0,0,0
16884679575,86.96003951,-120.722564,6.714490417,0,0,0,0
16884679585,89.9253297,-124.7405717,6.765455671,0,0,0,0
16884679595,92.94012365,-129.2732676,6.817801768,0,0,0,0
16884679605,96.24294989,-134.2749506,6.876020713,0,0,0,0
16884679615,99.86627513,-139.703765,6.928057173,0,0,0,0
16884679625,103.6879964,-145.4898035,7.048312091,0,0,0,0
16884679635,107.7886557,-151.4356293,7.082381716,0,0,0,0
16884679645,112.0153686,-157.5440954,7.132899203,0,0,0,0
16884679655,116.4095635,-163.6597446,7.190358513,0,0,0,0
16884679665,120.6890278,-169.6847218,7.250100829,0,0,0,0
16884679675,124.9109328,-175.7726437,7.290763346,0,0,0,0
16884679685,129.2511946,-181.6108592,7.370124515,0,0,0,0
16884679695,133.4408891,-187.3384475,7.39482055,0,0,0,0
16884679705,137.5599275,-192.9023559,7.432340987,0,0,0,0
16884679715,141.4817798,-197.9955792,7.790865718,0,0,0,0
16884679725,145.3718651,-202.0994177,8.061189753,0,0,0,0
16884679735,149.2171897,-204.6366292,8.184883867,0,0,0,0
16884679745,154.7341916,-204.3480149,8.190896806,0,0,0,0
16884679755,159.5063058,-202.8049017,8.180886441,0,0,0,0
16884679765,162.8620134,-200.5457505,8.08235798,0,0,0,0
16884679775,166.6808744,-197.3911023,8.241040501,0,0,0,0
16884679785,170.974254,-193.4748048,8.199988931,0,0,0,0
16884679795,176.2662062,-189.3233118,8.311708796,0,0,0,0
16884679805,182.2479765,-184.9011388,8.268141119,0,0,0,0
16884679815,188.5796499,-179.9877634,8.078615429,0,0,0,0
16884679825,195.2128025,-175.2543838,7.970307318,0,0,0,0
16884679835,201.7020278,-170.6474412,7.894505554,0,0,0,0
16884679845,207.7879931,-166.0480296,7.715330715,0,0,0,0
16884679855,213.5536308,-161.9805227,7.646323532,0,0,0,0
16884679865,218.3180383,-158.5401269,7.658113364,0,0,0,0
16884679875,222.0176301,-155.8827107,7.727689165,0,0,0,0
16884679885,224.4080995,-153.9818968,7.546190204,0,0,0,0
16884679895,225.7134206,-153.0809961,7.612765407,0,0,0,0
16884679905,226.2902889,-152.6371166,7.51502392,0,0,0,0
16884679915,226.3552211,-152.5534071,7.50907373,0,0,0,0
16884679925,226.2368259,-152.5040561,7.49526301,0,0,0,0
16884679935,226.1753164,-152.4742677,7.561905219,0,0,0,0
16884679945,226.1152996,-152.4650758,7.559961746,0,0,0,0
16884679955,226.0576909,-152.4661511,7.532853731,0,0,0,0
16884679965,225.9965662,-152.4569798,7.508650383,0,0,0,0
16884679975,225.957068,-152.4783415,7.526540038,0,0,0,0
16884679985,225.8527368,-152.4699767,6.963000591,0,0,0,0
16884679995,225.7871807,-152.4608882,6.944563985,0,0,0,0
16884680005,225.7421433,-152.4823532,6.954522585,0,0,0,0
16884680015,225.6900739,-152.4833251,6.969040037,0,0,0,0
16884680025,225.6404126,-152.4945643,6.947362315,0,0,0,0
16884680035,225.6099698,-152.5260691,6.823374216,0,0,0,0
16884680045,225.6012993,-152.5365431,6.701784025,0,0,0,0
16884680055,225.6145936,-152.5362949,6.622439327,0,0,0,0
16884680091,225.6295264,-152.5050796,6.558778651,0,0,0,0
